Year,Variable,Value
1970,Mining and utlities,12.37961311
1970,Manufacturing,13.55646159
1970,Agriculture,2.477748892
1970,Other,5.874915317
1971,Mining and utlities,13.50740019
1971,Manufacturing,14.92085386
1971,Agriculture,2.560444542
1971,Other,6.583384207
1972,Mining and utlities,13.63537473
1972,Manufacturing,15.0083149
1972,Agriculture,2.588529857
1972,Other,6.439632668
1973,Mining and utlities,14.81343144
1973,Manufacturing,16.33772274
1973,Agriculture,2.638459305
1973,Other,8.097104495
1974,Mining and utlities,15.83870445
1974,Manufacturing,17.64963838
1974,Agriculture,2.727396136
1974,Other,10.26738353
1975,Mining and utlities,14.62541509
1975,Manufacturing,16.11032403
1975,Agriculture,2.69306964
1975,Other,6.359779626
1976,Mining and utlities,13.42176406
1976,Manufacturing,14.83339281
1976,Agriculture,2.855340348
1976,Other,6.307436562
1977,Mining and utlities,13.32050637
1977,Manufacturing,14.51853306
1977,Agriculture,2.764843223
1977,Other,5.920144596
1978,Mining and utlities,12.16401945
1978,Manufacturing,12.68079917
1978,Agriculture,2.769560063
1978,Other,5.92731586
1979,Mining and utlities,11.35197641
1979,Manufacturing,11.94686334
1979,Agriculture,2.854450508
1979,Other,6.448588098
1980,Mining and utlities,11.87739369
1980,Manufacturing,12.36688906
1980,Agriculture,2.934595997
1980,Other,6.00491056
1981,Mining and utlities,11.95651506
1981,Manufacturing,12.55851859
1981,Agriculture,2.993397272
1981,Other,6.490770964
1982,Mining and utlities,11.58958221
1982,Manufacturing,12.36708905
1982,Agriculture,3.089210246
1982,Other,6.712187217
1983,Mining and utlities,12.02702773
1983,Manufacturing,12.72401706
1983,Agriculture,3.154620771
1983,Other,6.569070585
1984,Mining and utlities,13.43926852
1984,Manufacturing,13.74030986
1984,Agriculture,3.237396375
1984,Other,6.309149911
1985,Mining and utlities,13.60026832
1985,Manufacturing,14.53655632
1985,Agriculture,3.326725248
1985,Other,5.904161732
1986,Mining and utlities,14.24460323
1986,Manufacturing,15.15750302
1986,Agriculture,3.405117659
1986,Other,6.325201521
1987,Mining and utlities,14.41231
1987,Manufacturing,15.52077496
1987,Agriculture,3.474368485
1987,Other,7.476005475
1988,Mining and utlities,14.12704804
1988,Manufacturing,15.17362765
1988,Agriculture,3.575942036
1988,Other,7.548220447
1989,Mining and utlities,13.51461447
1989,Manufacturing,14.55402853
1989,Agriculture,3.676124022
1989,Other,7.650745465
1990,Mining and utlities,11.05714703
1990,Manufacturing,12.42276649
1990,Agriculture,3.77213181
1990,Other,8.230924862
1991,Mining and utlities,8.827740609
1991,Manufacturing,9.753888064
1991,Agriculture,3.877879558
1991,Other,8.319395324
1992,Mining and utlities,6.222576368
1992,Manufacturing,7.065808322
1992,Agriculture,3.998932781
1992,Other,8.44585056
1993,Mining and utlities,5.345707165
1993,Manufacturing,6.201782797
1993,Agriculture,4.074069333
1993,Other,6.636147922
1994,Mining and utlities,5.182482153
1994,Manufacturing,5.740969556
1994,Agriculture,4.040675254
1994,Other,6.256022067
1995,Mining and utlities,4.842339906
1995,Manufacturing,6.393788708
1995,Agriculture,4.509582919
1995,Other,6.184409936
1996,Mining and utlities,5.039050753
1996,Manufacturing,6.214762497
1996,Agriculture,4.604283985
1996,Other,6.109109394
1997,Mining and utlities,4.020622815
1997,Manufacturing,4.859944334
1997,Agriculture,4.479031684
1997,Other,5.97403032
1998,Mining and utlities,3.843252962
1998,Manufacturing,4.160112181
1998,Agriculture,4.41390007
1998,Other,6.206164382
1999,Mining and utlities,4.139848876
1999,Manufacturing,4.850691083
1999,Agriculture,4.515419879
1999,Other,5.55419005
2000,Mining and utlities,4.422369179
2000,Manufacturing,4.32196572
2000,Agriculture,3.987123884
2000,Other,4.908929987
2001,Mining and utlities,4.012902155
2001,Manufacturing,3.710967964
2001,Agriculture,3.927045242
2001,Other,4.833552304
2002,Mining and utlities,4.20557409
2002,Manufacturing,3.870901937
2002,Agriculture,3.784318731
2002,Other,5.119015713
2003,Mining and utlities,4.231890257
2003,Manufacturing,3.698056628
2003,Agriculture,3.809430968
2003,Other,5.722722204
2004,Mining and utlities,4.388847395
2004,Manufacturing,3.857574106
2004,Agriculture,3.870781116
2004,Other,6.364393089
2005,Mining and utlities,4.970935943
2005,Manufacturing,3.873775751
2005,Agriculture,3.889440462
2005,Other,6.709405665
2006,Mining and utlities,5.120248861
2006,Manufacturing,3.688227353
2006,Agriculture,4.108711613
2006,Other,7.0600244
2007,Mining and utlities,5.342996416
2007,Manufacturing,3.952160057
2007,Agriculture,4.222257069
2007,Other,7.819971099
2008,Mining and utlities,5.585543753
2008,Manufacturing,4.014634265
2008,Agriculture,4.339299165
2008,Other,8.520952418
2009,Mining and utlities,5.642060854
2009,Manufacturing,3.618297889
2009,Agriculture,4.45999684
2009,Other,8.865254394
2010,Mining and utlities,7.47278886
2010,Manufacturing,3.498347409
2010,Agriculture,4.621191971
2010,Other,8.500149688
2011,Mining and utlities,8.625061023
2011,Manufacturing,3.560779968
2011,Agriculture,4.786265194
2011,Other,8.738696696
2012,Mining and utlities,9.339983555
2012,Manufacturing,3.746703211
2012,Agriculture,4.95156093
2012,Other,9.369077162
2013,Mining and utlities,10.27674511
2013,Manufacturing,4.123422687
2013,Agriculture,5.161772604
2013,Other,10.16554381
2014,Mining and utlities,11.94472015
2014,Manufacturing,4.533128544
2014,Agriculture,5.406442081
2014,Other,10.80901882
2015,Mining and utlities,12.80312845
2015,Manufacturing,5.155788152
2015,Agriculture,5.658200202
2015,Other,11.55603811
2016,Mining and utlities,13.09949862
2016,Manufacturing,5.601437503
2016,Agriculture,5.842568524
2016,Other,11.76096966
