Type,Location,Country,2012,2013,2014,2015,2016
Accomodation,Domestic,Austria,214.41,165.67,140.13,160.4,169.72
Accomodation,Abroad,Austria,379.05,390.5,366.44,370.12,359.84
Eating out,Domestic,Austria,:,:,:,:,:
Eating out,Abroad,Austria,:,:,:,:,:
Other,Domestic,Austria,70.73,105.82,119.19,127.93,133.84
Other,Abroad,Austria,164.24,194.95,212.85,216.11,221.79
Shopping,Domestic,Austria,3.87,3.86,4.87,3.58,5.68
Shopping,Abroad,Austria,8.27,14.97,22.37,18.49,13.2
Total,Domestic,Austria,343.93,341.63,328.68,357.64,372.58
Total,Abroad,Austria,814.44,906.75,898.9,892.92,873.52
Transport,Domestic,Austria,58.79,70.14,69.37,69.31,69.02
Transport,Abroad,Austria,271.14,321.29,319.62,306.69,291.89
Accomodation,Domestic,Belgium,101.56,102.71,98.32,84.36,98.02
Accomodation,Abroad,Belgium,290.57,308.28,263.04,272.46,231.25
Eating out,Domestic,Belgium,:,0,0,0,77.84
Eating out,Abroad,Belgium,:,0,0,0,130.14
Other,Domestic,Belgium,95,102.32,89.72,92.3,26.8
Other,Abroad,Belgium,198.33,247.72,236,239.5,83.17
Shopping,Domestic,Belgium,13.94,11.09,7.8,7.82,7.93
Shopping,Abroad,Belgium,23.92,21.74,19.8,14.66,10.75
Total,Domestic,Belgium,227.15,232.78,215.45,197.23,231.06
Total,Abroad,Belgium,663.72,811.1,703.87,698.08,704.88
Transport,Domestic,Belgium,30.59,27.75,27.4,20.57,28.4
Transport,Abroad,Belgium,174.82,255.1,204.84,186.11,260.32
Accomodation,Domestic,Bulgaria,24.93,26.43,32.34,31.14,31.32
Accomodation,Abroad,Bulgaria,86.7,99.69,92.37,90.27,84.25
Eating out,Domestic,Bulgaria,39.39,40.46,45.04,49.75,48.08
Eating out,Abroad,Bulgaria,88.6,87.62,70.12,98.3,106.48
Other,Domestic,Bulgaria,12,10.06,10.97,14.1,15.13
Other,Abroad,Bulgaria,63.95,34.19,26.29,52.4,60
Shopping,Domestic,Bulgaria,0,0,0,0,0
Shopping,Abroad,Bulgaria,0,0,0,0,0
Total,Domestic,Bulgaria,104.13,106.76,123.07,121.38,118.5
Total,Abroad,Bulgaria,366.03,329.26,318.98,374.83,384.68
Transport,Domestic,Bulgaria,27.82,29.81,34.72,26.39,23.97
Transport,Abroad,Bulgaria,126.78,107.77,130.2,133.87,133.95
Accomodation,Domestic,Croatia,36.07,34.68,26.53,40.49,47.79
Accomodation,Abroad,Croatia,103.68,117.68,114.9,121.97,119.04
Eating out,Domestic,Croatia,26.34,24.88,32.98,40.78,50.88
Eating out,Abroad,Croatia,57.69,63.51,86.22,103.12,94.78
Other,Domestic,Croatia,27.37,52.54,29.84,33.82,26.37
Other,Abroad,Croatia,74.32,133.01,74.82,81.37,60.69
Shopping,Domestic,Croatia,3.03,1.11,0.66,0,1.16
Shopping,Abroad,Croatia,8.27,8.51,6.94,1.44,2.04
Total,Domestic,Croatia,140.13,152.05,128.35,161.85,176.28
Total,Abroad,Croatia,370.71,427.9,427.3,505.6,430.54
Transport,Domestic,Croatia,50.35,39.95,38.99,46.75,51.24
Transport,Abroad,Croatia,135,113.69,151.35,199.14,156.04
Accomodation,Domestic,Cyprus,44.14,31.8,37.12,35.78,31.88
Accomodation,Abroad,Cyprus,211.76,202.43,205.19,206.52,204.13
Eating out,Domestic,Cyprus,:,76.88,65.72,40.47,43.59
Eating out,Abroad,Cyprus,:,291.79,269.08,263.37,215.81
Other,Domestic,Cyprus,2.28,4.89,18.62,16.35,31.04
Other,Abroad,Cyprus,145.05,116.09,168.94,186.69,239.18
Shopping,Domestic,Cyprus,0.69,0,0,0,0.02
Shopping,Abroad,Cyprus,8.91,11.46,3.93,2.28,4.4
Total,Domestic,Cyprus,71.33,136.91,147.62,115.62,121.4
Total,Abroad,Cyprus,672.47,939.43,957.55,960.25,990.46
Transport,Domestic,Cyprus,24.9,23.34,26.16,23.02,14.9
Transport,Abroad,Cyprus,315.65,329.12,314.34,303.67,331.34
Accomodation,Domestic,Czech Republic,12.64,13.4,10.3,15.02,17.57
Accomodation,Abroad,Czech Republic,103.91,108.13,100.8,105.06,120.24
Eating out,Domestic,Czech Republic,13.17,14.2,11.03,16.6,14.1
Eating out,Abroad,Czech Republic,85.67,91.19,75.8,84.62,83.73
Other,Domestic,Czech Republic,19.83,20.58,18.75,23.17,25.02
Other,Abroad,Czech Republic,117.84,114.37,108.48,107.41,110.44
Shopping,Domestic,Czech Republic,0,0.15,0.09,0.23,0.03
Shopping,Abroad,Czech Republic,3.57,0.3,0.32,0.77,0.84
Total,Domestic,Czech Republic,57.63,60.04,51.86,66.61,68.32
Total,Abroad,Czech Republic,413.63,422.13,390.02,396.02,422.54
Transport,Domestic,Czech Republic,11.99,11.86,11.78,11.82,11.63
Transport,Abroad,Czech Republic,106.21,108.44,104.93,98.93,108.12
Accomodation,Domestic,Denmark,46.65,66.03,76.09,75.63,86.4
Accomodation,Abroad,Denmark,278.53,239.03,282.76,266.25,353.88
Eating out,Domestic,Denmark,:,:,:,:,:
Eating out,Abroad,Denmark,:,:,:,:,:
Other,Domestic,Denmark,47.97,73.56,80.09,73.52,82.47
Other,Abroad,Denmark,230.73,226.66,247.75,223.79,287.74
Shopping,Domestic,Denmark,16.28,24.48,27.62,24.94,28.38
Shopping,Abroad,Denmark,77.18,78.84,87.65,78.4,104.71
Total,Domestic,Denmark,133.63,203.67,237.3,211.01,237.81
Total,Abroad,Denmark,727.81,657.62,737.73,672.38,880.52
Transport,Domestic,Denmark,39.01,64.08,81.13,61.85,68.94
Transport,Abroad,Denmark,218.55,191.93,207.23,182.34,238.89
Accomodation,Domestic,Estonia,14.5,13.51,15.33,18.52,19.82
Accomodation,Abroad,Estonia,171.77,176.67,200.91,146.82,156.13
Eating out,Domestic,Estonia,13.06,15.39,16.64,19.03,18.37
Eating out,Abroad,Estonia,41.48,76.88,83.07,117.34,106.04
Other,Domestic,Estonia,8.61,11.09,10.58,17.11,16.06
Other,Abroad,Estonia,26.79,60.36,53.58,92.34,97.09
Shopping,Domestic,Estonia,1.92,4.81,4.11,0.14,0.26
Shopping,Abroad,Estonia,18.32,23.4,33.1,10.89,6.13
Total,Domestic,Estonia,60.22,64.82,65.62,80.7,76.62
Total,Abroad,Estonia,371.97,466.34,482.52,574.7,566.15
Transport,Domestic,Estonia,24.04,24.83,23.08,26.04,22.36
Transport,Abroad,Estonia,131.93,152.42,144.96,218.21,206.89
Accomodation,Domestic,Finland,43.61,41.42,41.14,39.49,43.25
Accomodation,Abroad,Finland,230.01,224.32,221.71,221.44,222.09
Eating out,Domestic,Finland,37.69,37.49,35.71,37.18,37.3
Eating out,Abroad,Finland,171.95,167.86,165.43,173.82,174.33
Other,Domestic,Finland,54.82,55.58,55.08,56.67,55.03
Other,Abroad,Finland,168.35,162.06,165.46,156.5,145.9
Shopping,Domestic,Finland,4.77,5.29,10.44,1.82,6.35
Shopping,Abroad,Finland,13.16,34.75,15.71,24.32,11.63
Total,Domestic,Finland,199.56,194.23,189.69,190.02,188.7
Total,Abroad,Finland,901.01,872.87,869.84,864.99,852.32
Transport,Domestic,Finland,63.44,59.74,57.75,56.68,53.12
Transport,Abroad,Finland,330.7,318.63,317.24,313.23,310
Accomodation,Domestic,France,64.17,65.78,67.24,70.1,73.05
Accomodation,Abroad,France,274.8,283.5,288.85,288.74,318.66
Eating out,Domestic,France,46.08,45.98,47.49,47.85,50.08
Eating out,Abroad,France,161.38,163.38,161.73,162.04,174.65
Other,Domestic,France,79.17,80.86,83.31,85.43,86.02
Other,Abroad,France,170.24,176.17,176.4,169.4,178.76
Shopping,Domestic,France,10.87,11.26,11.46,12.98,12.97
Shopping,Abroad,France,87.51,82.46,81.49,84.21,87.19
Total,Domestic,France,255.31,258.47,264.66,269.17,273.85
Total,Abroad,France,966.78,991,985.56,974.64,1017.39
Transport,Domestic,France,65.9,65.86,66.63,65.79,64.7
Transport,Abroad,France,360.37,367.94,358.58,354.45,345.32
Accomodation,Domestic,Germany,105.79,113.29,111.05,108.78,110.84
Accomodation,Abroad,Germany,373.54,374.19,366.37,331.71,354.12
Eating out,Domestic,Germany,:,:,:,:,:
Eating out,Abroad,Germany,:,:,:,:,:
Other,Domestic,Germany,64.36,70.77,69.79,69.59,69.53
Other,Abroad,Germany,147.65,154.63,154.07,168.46,162.3
Shopping,Domestic,Germany,17.28,16.76,16.6,12.44,15.56
Shopping,Abroad,Germany,54.97,39.93,39.37,40,38.93
Total,Domestic,Germany,265.23,274.23,271.74,268.18,260.78
Total,Abroad,Germany,876.09,875.85,838.06,841.63,848.07
Transport,Domestic,Germany,95.07,90.17,90.89,89.82,80.41
