date,percentile,item,value,price,quote_date,observations,year,month,quarter
1,0,430,.79000002,min,199601,135217,1996,1,1
1,10,430,1.0599999,p10,199601,135217,1996,1,1
1,30,430,1.14,p30,199601,135217,1996,1,1
1,50,430,1.2,p50,199601,135217,1996,1,1
1,70,430,1.25,p70,199601,135217,1996,1,1
1,90,430,1.35,p90,199601,135217,1996,1,1
1,100,430,1.75,max,199601,135217,1996,1,1
2,0,430,.80000001,min,199602,128475,1996,2,1
2,10,430,1.1,p10,199602,128475,1996,2,1
2,30,430,1.15,p30,199602,128475,1996,2,1
2,50,430,1.2,p50,199602,128475,1996,2,1
2,70,430,1.25,p70,199602,128475,1996,2,1
2,90,430,1.37,p90,199602,128475,1996,2,1
2,100,430,1.9,max,199602,128475,1996,2,1
3,0,430,.80000001,min,199603,129690,1996,3,1
3,10,430,1.1,p10,199603,129690,1996,3,1
3,30,430,1.15,p30,199603,129690,1996,3,1
3,50,430,1.2,p50,199603,129690,1996,3,1
3,70,430,1.26,p70,199603,129690,1996,3,1
3,90,430,1.38,p90,199603,129690,1996,3,1
3,100,430,2,max,199603,129690,1996,3,1
4,0,430,.80000001,min,199604,133080,1996,4,2
4,10,430,1.1,p10,199604,133080,1996,4,2
4,30,430,1.15,p30,199604,133080,1996,4,2
4,50,430,1.2,p50,199604,133080,1996,4,2
4,70,430,1.27,p70,199604,133080,1996,4,2
4,90,430,1.4,p90,199604,133080,1996,4,2
4,100,430,2,max,199604,133080,1996,4,2
5,0,430,.85000002,min,199605,137164,1996,5,2
5,10,430,1.1,p10,199605,137164,1996,5,2
5,30,430,1.15,p30,199605,137164,1996,5,2
5,50,430,1.2,p50,199605,137164,1996,5,2
5,70,430,1.28,p70,199605,137164,1996,5,2
5,90,430,1.4,p90,199605,137164,1996,5,2
5,100,430,2,max,199605,137164,1996,5,2
6,0,430,.85000002,min,199606,140810,1996,6,2
6,10,430,1.1,p10,199606,140810,1996,6,2
6,30,430,1.17,p30,199606,140810,1996,6,2
6,50,430,1.22,p50,199606,140810,1996,6,2
6,70,430,1.3,p70,199606,140810,1996,6,2
6,90,430,1.4,p90,199606,140810,1996,6,2
6,100,430,2,max,199606,140810,1996,6,2
7,0,430,.85000002,min,199607,140864,1996,7,3
7,10,430,1.1,p10,199607,140864,1996,7,3
7,30,430,1.1799999,p30,199607,140864,1996,7,3
7,50,430,1.22,p50,199607,140864,1996,7,3
7,70,430,1.3,p70,199607,140864,1996,7,3
7,90,430,1.4,p90,199607,140864,1996,7,3
7,100,430,2,max,199607,140864,1996,7,3
8,0,430,.88999999,min,199608,115492,1996,8,3
