id,date,shop,region,item,price,quote_date,year,month,quarter,monthfraction,yearmonth
66843,1,93,London,499,600,199601,1996,1,1,.083333336,1996.0834
66844,1,65,London,499,325,199601,1996,1,1,.083333336,1996.0834
66845,1,73,London,499,500,199601,1996,1,1,.083333336,1996.0834
66846,1,87,London,499,140,199601,1996,1,1,.083333336,1996.0834
66847,1,100,London,499,130,199601,1996,1,1,.083333336,1996.0834
66848,1,81,London,499,200,199601,1996,1,1,.083333336,1996.0834
66849,1,84,London,499,550,199601,1996,1,1,.083333336,1996.0834
66850,1,94,London,499,750,199601,1996,1,1,.083333336,1996.0834
66851,1,102,London,499,190,199601,1996,1,1,.083333336,1996.0834
66852,1,112,London,499,400,199601,1996,1,1,.083333336,1996.0834
66853,1,133,London,499,130,199601,1996,1,1,.083333336,1996.0834
66854,1,154,London,499,280,199601,1996,1,1,.083333336,1996.0834
66855,1,140,London,499,750,199601,1996,1,1,.083333336,1996.0834
66856,1,166,London,499,495,199601,1996,1,1,.083333336,1996.0834
66857,1,160,London,499,500,199601,1996,1,1,.083333336,1996.0834
66858,1,156,London,499,500,199601,1996,1,1,.083333336,1996.0834
66859,1,161,London,499,120,199601,1996,1,1,.083333336,1996.0834
66860,1,161,London,499,160,199601,1996,1,1,.083333336,1996.0834
66861,1,180,London,499,180,199601,1996,1,1,.083333336,1996.0834
66862,1,173,London,499,725,199601,1996,1,1,.083333336,1996.0834
66863,1,182,London,499,110,199601,1996,1,1,.083333336,1996.0834
66864,1,181,London,499,370,199601,1996,1,1,.083333336,1996.0834
66865,1,194,London,499,450,199601,1996,1,1,.083333336,1996.0834
66866,1,197,London,499,500,199601,1996,1,1,.083333336,1996.0834
66867,1,199,London,499,125,199601,1996,1,1,.083333336,1996.0834
66868,1,189,London,499,550,199601,1996,1,1,.083333336,1996.0834
66869,1,189,London,499,120,199601,1996,1,1,.083333336,1996.0834
66870,1,223,London,499,550,199601,1996,1,1,.083333336,1996.0834
66871,1,223,London,499,190,199601,1996,1,1,.083333336,1996.0834
66872,1,221,London,499,120,199601,1996,1,1,.083333336,1996.0834
66873,1,218,London,499,550,199601,1996,1,1,.083333336,1996.0834
